47, 0 %, 1 MiB
47, 0 %, 3 MiB
48, 3 %, 668 MiB
48, 0 %, 668 MiB
48, 0 %, 668 MiB
48, 0 %, 668 MiB
48, 0 %, 668 MiB
48, 0 %, 668 MiB
48, 0 %, 668 MiB
47, 0 %, 668 MiB
47, 0 %, 668 MiB
47, 0 %, 728 MiB
64, 83 %, 4430 MiB
65, 94 %, 5162 MiB
65, 94 %, 5162 MiB
64, 95 %, 5162 MiB
64, 95 %, 5162 MiB
65, 96 %, 5162 MiB
65, 96 %, 5162 MiB
65, 95 %, 5162 MiB
66, 94 %, 5162 MiB
67, 94 %, 5162 MiB
64, 94 %, 5162 MiB
65, 96 %, 5162 MiB
66, 95 %, 5162 MiB
67, 95 %, 5162 MiB
67, 94 %, 5162 MiB
66, 94 %, 5162 MiB
66, 94 %, 5162 MiB
69, 95 %, 5162 MiB
66, 96 %, 5162 MiB
66, 96 %, 5162 MiB
67, 96 %, 5162 MiB
68, 95 %, 5162 MiB
67, 94 %, 5162 MiB
67, 96 %, 5162 MiB
68, 94 %, 5162 MiB
68, 94 %, 5162 MiB
69, 94 %, 5162 MiB
69, 94 %, 5162 MiB
69, 94 %, 5162 MiB
69, 94 %, 5162 MiB
68, 94 %, 5162 MiB
69, 96 %, 5162 MiB
69, 95 %, 5162 MiB
69, 94 %, 5162 MiB
69, 94 %, 5162 MiB
70, 94 %, 5162 MiB
69, 95 %, 5162 MiB
68, 94 %, 5162 MiB
70, 94 %, 5162 MiB
69, 95 %, 5162 MiB
70, 96 %, 5162 MiB
70, 96 %, 5162 MiB
69, 96 %, 5162 MiB
70, 95 %, 5162 MiB
71, 95 %, 5162 MiB
70, 95 %, 5162 MiB
70, 96 %, 5162 MiB
71, 96 %, 5162 MiB
70, 94 %, 5162 MiB
70, 94 %, 5162 MiB
70, 94 %, 5162 MiB
71, 94 %, 5162 MiB
70, 94 %, 5162 MiB
71, 95 %, 5162 MiB
71, 95 %, 5162 MiB
71, 94 %, 5162 MiB
71, 94 %, 5162 MiB
58, 0 %, 5162 MiB
