50, 0 %, 1 MiB
49, 0 %, 1 MiB
49, 0 %, 1 MiB
49, 0 %, 1 MiB
50, 0 %, 152 MiB
50, 6 %, 870 MiB
57, 88 %, 5678 MiB
61, 98 %, 6026 MiB
63, 99 %, 6026 MiB
63, 100 %, 6050 MiB
64, 99 %, 6050 MiB
65, 99 %, 6050 MiB
65, 99 %, 6050 MiB
66, 99 %, 6050 MiB
67, 99 %, 6052 MiB
67, 99 %, 6054 MiB
68, 99 %, 6054 MiB
68, 100 %, 6054 MiB
69, 99 %, 6054 MiB
69, 98 %, 6054 MiB
69, 99 %, 6054 MiB
70, 99 %, 6054 MiB
70, 99 %, 6054 MiB
70, 99 %, 6054 MiB
71, 99 %, 6054 MiB
71, 99 %, 6054 MiB
71, 99 %, 6054 MiB
71, 99 %, 6054 MiB
71, 99 %, 6054 MiB
72, 99 %, 6054 MiB
72, 99 %, 6054 MiB
73, 99 %, 6054 MiB
73, 99 %, 6054 MiB
73, 99 %, 6054 MiB
73, 99 %, 6054 MiB
