49, 0 %, 1 MiB
49, 0 %, 1 MiB
48, 0 %, 1 MiB
50, 0 %, 152 MiB
50, 1 %, 228 MiB
49, 0 %, 874 MiB
55, 78 %, 6844 MiB
61, 99 %, 6032 MiB
62, 100 %, 6032 MiB
63, 99 %, 6032 MiB
64, 99 %, 6032 MiB
65, 99 %, 6032 MiB
65, 99 %, 6032 MiB
65, 99 %, 6032 MiB
66, 99 %, 6032 MiB
67, 99 %, 6032 MiB
67, 100 %, 6034 MiB
68, 99 %, 6034 MiB
68, 99 %, 6034 MiB
69, 100 %, 6034 MiB
69, 99 %, 6034 MiB
69, 99 %, 6036 MiB
70, 99 %, 6036 MiB
70, 99 %, 6036 MiB
70, 99 %, 6036 MiB
71, 99 %, 6036 MiB
71, 100 %, 6036 MiB
71, 99 %, 6036 MiB
72, 100 %, 6060 MiB
72, 99 %, 6060 MiB
73, 99 %, 6060 MiB
74, 99 %, 6060 MiB
74, 99 %, 6060 MiB
74, 99 %, 6060 MiB
74, 100 %, 6060 MiB
