47, 0 %, 1 MiB
48, 0 %, 200 MiB
48, 5 %, 920 MiB
56, 36 %, 4940 MiB
58, 53 %, 5236 MiB
58, 63 %, 5294 MiB
57, 67 %, 5300 MiB
55, 76 %, 5300 MiB
55, 82 %, 5300 MiB
55, 89 %, 5300 MiB
55, 98 %, 5300 MiB
55, 91 %, 5300 MiB
56, 88 %, 5448 MiB
56, 79 %, 5484 MiB
56, 72 %, 5484 MiB
58, 66 %, 5484 MiB
59, 55 %, 5484 MiB
59, 51 %, 5484 MiB
60, 41 %, 5484 MiB
60, 37 %, 5484 MiB
60, 36 %, 5484 MiB
60, 38 %, 5484 MiB
60, 50 %, 5484 MiB
55, 36 %, 5484 MiB
54, 40 %, 5484 MiB
51, 14 %, 5484 MiB
55, 85 %, 5484 MiB
56, 73 %, 5484 MiB
57, 63 %, 5484 MiB
58, 57 %, 5484 MiB
60, 47 %, 5484 MiB
60, 37 %, 5484 MiB
60, 34 %, 5484 MiB
59, 37 %, 5484 MiB
60, 45 %, 5484 MiB
59, 56 %, 5484 MiB
58, 70 %, 5484 MiB
56, 78 %, 5484 MiB
55, 93 %, 5484 MiB
56, 89 %, 5484 MiB
56, 84 %, 5484 MiB
56, 76 %, 5484 MiB
56, 70 %, 5484 MiB
57, 64 %, 5484 MiB
58, 53 %, 5484 MiB
60, 47 %, 5484 MiB
55, 13 %, 5484 MiB
54, 40 %, 5484 MiB
