48, 0 %, 1 MiB
47, 0 %, 1 MiB
47, 0 %, 1 MiB
48, 1 %, 152 MiB
48, 0 %, 184 MiB
48, 0 %, 868 MiB
54, 75 %, 5722 MiB
60, 99 %, 6050 MiB
61, 100 %, 6050 MiB
62, 99 %, 6050 MiB
63, 99 %, 6050 MiB
63, 99 %, 6050 MiB
64, 99 %, 6050 MiB
65, 99 %, 6050 MiB
65, 99 %, 6050 MiB
66, 100 %, 6052 MiB
66, 99 %, 6052 MiB
67, 99 %, 6052 MiB
68, 100 %, 6052 MiB
68, 99 %, 6052 MiB
69, 99 %, 6052 MiB
69, 99 %, 6052 MiB
69, 100 %, 6052 MiB
70, 99 %, 6052 MiB
70, 99 %, 6052 MiB
70, 100 %, 6052 MiB
70, 99 %, 6052 MiB
71, 99 %, 6052 MiB
71, 99 %, 6052 MiB
71, 99 %, 6052 MiB
72, 100 %, 6052 MiB
72, 99 %, 6052 MiB
72, 100 %, 6052 MiB
73, 99 %, 6052 MiB
73, 99 %, 6052 MiB
