49, 0 %, 1 MiB
49, 0 %, 1 MiB
48, 0 %, 1 MiB
50, 1 %, 152 MiB
50, 4 %, 570 MiB
50, 2 %, 1576 MiB
60, 91 %, 5766 MiB
62, 99 %, 6050 MiB
64, 100 %, 6050 MiB
64, 99 %, 6050 MiB
65, 99 %, 6050 MiB
66, 99 %, 6050 MiB
66, 100 %, 6052 MiB
67, 99 %, 6052 MiB
68, 99 %, 6052 MiB
68, 99 %, 6052 MiB
68, 99 %, 6052 MiB
69, 99 %, 6052 MiB
69, 99 %, 6052 MiB
70, 99 %, 6052 MiB
70, 100 %, 6052 MiB
71, 99 %, 6052 MiB
71, 99 %, 6052 MiB
71, 99 %, 6052 MiB
72, 99 %, 6052 MiB
72, 100 %, 6052 MiB
72, 99 %, 6052 MiB
73, 100 %, 6052 MiB
73, 99 %, 6052 MiB
73, 99 %, 6052 MiB
73, 99 %, 6052 MiB
73, 99 %, 6052 MiB
73, 99 %, 6052 MiB
73, 100 %, 6052 MiB
74, 99 %, 6052 MiB
