45, 0 %, 1 MiB
45, 0 %, 3 MiB
46, 5 %, 668 MiB
46, 0 %, 668 MiB
46, 0 %, 668 MiB
46, 0 %, 668 MiB
46, 0 %, 668 MiB
46, 0 %, 668 MiB
46, 0 %, 668 MiB
45, 0 %, 668 MiB
45, 0 %, 668 MiB
45, 0 %, 736 MiB
60, 85 %, 7422 MiB
62, 96 %, 7442 MiB
62, 96 %, 6934 MiB
64, 96 %, 6934 MiB
61, 98 %, 6934 MiB
63, 94 %, 6652 MiB
64, 97 %, 6654 MiB
63, 96 %, 7818 MiB
60, 97 %, 7774 MiB
63, 95 %, 7788 MiB
63, 98 %, 7788 MiB
65, 96 %, 7788 MiB
65, 96 %, 7788 MiB
64, 95 %, 7788 MiB
66, 96 %, 7788 MiB
64, 95 %, 7788 MiB
65, 97 %, 7788 MiB
63, 95 %, 7788 MiB
65, 95 %, 7788 MiB
65, 98 %, 7788 MiB
65, 95 %, 7788 MiB
66, 96 %, 7788 MiB
67, 95 %, 7788 MiB
66, 96 %, 7788 MiB
67, 96 %, 7788 MiB
66, 96 %, 7788 MiB
65, 95 %, 7788 MiB
67, 95 %, 7788 MiB
65, 96 %, 7788 MiB
67, 95 %, 7788 MiB
67, 96 %, 7788 MiB
66, 97 %, 7788 MiB
66, 96 %, 7788 MiB
66, 97 %, 7788 MiB
66, 96 %, 7788 MiB
66, 96 %, 7788 MiB
68, 96 %, 7788 MiB
67, 95 %, 7788 MiB
67, 96 %, 7788 MiB
68, 96 %, 7788 MiB
66, 95 %, 7788 MiB
67, 96 %, 7788 MiB
67, 95 %, 7788 MiB
68, 95 %, 7788 MiB
67, 95 %, 7788 MiB
67, 97 %, 7788 MiB
68, 95 %, 7788 MiB
69, 98 %, 7788 MiB
68, 95 %, 7788 MiB
67, 96 %, 7788 MiB
69, 95 %, 7788 MiB
68, 96 %, 7788 MiB
67, 95 %, 7788 MiB
68, 97 %, 7788 MiB
68, 96 %, 7788 MiB
69, 95 %, 7788 MiB
55, 0 %, 7788 MiB
