43, 0 %, 1 MiB
43, 0 %, 1 MiB
43, 0 %, 1 MiB
44, 1 %, 110 MiB
45, 2 %, 300 MiB
45, 3 %, 994 MiB
56, 92 %, 7124 MiB
61, 96 %, 5734 MiB
61, 99 %, 5760 MiB
63, 99 %, 5760 MiB
64, 99 %, 5760 MiB
63, 99 %, 5762 MiB
64, 99 %, 5762 MiB
64, 99 %, 5762 MiB
65, 99 %, 5762 MiB
65, 99 %, 5762 MiB
65, 99 %, 5762 MiB
64, 99 %, 5762 MiB
65, 99 %, 5762 MiB
66, 99 %, 5762 MiB
66, 99 %, 5762 MiB
65, 99 %, 5762 MiB
66, 99 %, 5762 MiB
67, 99 %, 5762 MiB
67, 99 %, 5762 MiB
67, 99 %, 5762 MiB
67, 99 %, 5762 MiB
66, 99 %, 5762 MiB
67, 99 %, 5762 MiB
67, 99 %, 5762 MiB
68, 99 %, 5762 MiB
68, 99 %, 5762 MiB
67, 99 %, 5762 MiB
68, 99 %, 5762 MiB
68, 99 %, 5762 MiB
68, 99 %, 5762 MiB
69, 99 %, 5762 MiB
69, 99 %, 5762 MiB
