30, 5 %, 401 MiB
31, 9 %, 939 MiB
32, 6 %, 1177 MiB
38, 20 %, 4193 MiB
44, 99 %, 4221 MiB
45, 99 %, 4223 MiB
46, 99 %, 4223 MiB
47, 99 %, 4223 MiB
48, 99 %, 4223 MiB
49, 99 %, 4223 MiB
50, 99 %, 4223 MiB
51, 99 %, 4223 MiB
41, 6 %, 3437 MiB
