52, 0 %, 1 MiB
53, 3 %, 456 MiB
57, 5 %, 7130 MiB
65, 100 %, 6988 MiB
66, 100 %, 6988 MiB
67, 100 %, 6988 MiB
67, 100 %, 6988 MiB
67, 100 %, 6988 MiB
68, 100 %, 6988 MiB
68, 100 %, 6988 MiB
69, 100 %, 6988 MiB
69, 100 %, 6988 MiB
70, 100 %, 6988 MiB
70, 100 %, 6988 MiB
70, 100 %, 6988 MiB
70, 100 %, 6988 MiB
71, 100 %, 6988 MiB
63, 3 %, 6988 MiB
71, 100 %, 6988 MiB
71, 100 %, 6988 MiB
72, 100 %, 6988 MiB
72, 100 %, 6988 MiB
72, 100 %, 6988 MiB
72, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
73, 100 %, 6988 MiB
74, 100 %, 6988 MiB
64, 0 %, 6922 MiB
63, 0 %, 1 MiB
