54, 0 %, 1 MiB
55, 5 %, 388 MiB
55, 0 %, 810 MiB
55, 0 %, 810 MiB
54, 0 %, 810 MiB
54, 0 %, 810 MiB
54, 0 %, 810 MiB
54, 0 %, 810 MiB
54, 0 %, 810 MiB
53, 0 %, 810 MiB
53, 3 %, 1306 MiB
63, 93 %, 5724 MiB
65, 93 %, 5726 MiB
64, 92 %, 5726 MiB
66, 93 %, 5726 MiB
66, 93 %, 5726 MiB
66, 93 %, 5726 MiB
67, 93 %, 5726 MiB
68, 94 %, 5726 MiB
68, 93 %, 5726 MiB
69, 94 %, 5726 MiB
68, 93 %, 5726 MiB
68, 94 %, 5726 MiB
69, 94 %, 5726 MiB
70, 94 %, 5726 MiB
71, 93 %, 5726 MiB
70, 94 %, 5726 MiB
71, 94 %, 5726 MiB
71, 96 %, 5726 MiB
71, 99 %, 5726 MiB
72, 93 %, 5726 MiB
73, 93 %, 5726 MiB
73, 94 %, 5726 MiB
73, 93 %, 5726 MiB
73, 93 %, 5726 MiB
73, 93 %, 5726 MiB
73, 93 %, 5726 MiB
74, 93 %, 5726 MiB
74, 96 %, 5726 MiB
73, 94 %, 5726 MiB
73, 93 %, 5726 MiB
74, 93 %, 5726 MiB
74, 93 %, 5726 MiB
74, 93 %, 5726 MiB
74, 93 %, 5726 MiB
74, 94 %, 5726 MiB
74, 95 %, 5726 MiB
74, 95 %, 5726 MiB
74, 97 %, 5726 MiB
74, 94 %, 5726 MiB
75, 93 %, 5726 MiB
75, 93 %, 5726 MiB
74, 94 %, 5726 MiB
75, 94 %, 5726 MiB
74, 93 %, 5726 MiB
75, 93 %, 5726 MiB
75, 93 %, 5726 MiB
75, 93 %, 5726 MiB
75, 98 %, 5726 MiB
74, 93 %, 5726 MiB
66, 3 %, 5726 MiB
