53, 0 %, 1 MiB
54, 7 %, 612 MiB
54, 0 %, 618 MiB
54, 0 %, 618 MiB
53, 0 %, 618 MiB
53, 0 %, 618 MiB
53, 10 %, 7300 MiB
61, 92 %, 7334 MiB
62, 92 %, 7334 MiB
63, 92 %, 7334 MiB
64, 92 %, 7334 MiB
65, 92 %, 7334 MiB
65, 92 %, 7334 MiB
65, 92 %, 7334 MiB
65, 92 %, 7334 MiB
65, 92 %, 7334 MiB
66, 92 %, 7334 MiB
66, 93 %, 7334 MiB
66, 93 %, 7334 MiB
67, 94 %, 7334 MiB
67, 93 %, 7334 MiB
68, 92 %, 7334 MiB
68, 92 %, 7334 MiB
68, 92 %, 7334 MiB
68, 92 %, 7334 MiB
68, 93 %, 7334 MiB
69, 94 %, 7334 MiB
64, 95 %, 4864 MiB
