44, 0 %, 1 MiB
44, 0 %, 1 MiB
44, 0 %, 1 MiB
46, 0 %, 110 MiB
46, 3 %, 516 MiB
49, 15 %, 4570 MiB
55, 90 %, 5752 MiB
62, 97 %, 5750 MiB
64, 99 %, 5752 MiB
64, 99 %, 5752 MiB
64, 99 %, 5752 MiB
64, 99 %, 5752 MiB
64, 99 %, 5752 MiB
65, 99 %, 5752 MiB
66, 99 %, 5752 MiB
66, 99 %, 5752 MiB
66, 99 %, 5752 MiB
67, 99 %, 5752 MiB
67, 99 %, 5754 MiB
67, 99 %, 5754 MiB
67, 99 %, 5754 MiB
66, 99 %, 5754 MiB
66, 99 %, 5754 MiB
67, 99 %, 5754 MiB
68, 99 %, 5754 MiB
67, 99 %, 5754 MiB
68, 99 %, 5754 MiB
68, 99 %, 5754 MiB
69, 99 %, 5754 MiB
68, 99 %, 5754 MiB
68, 99 %, 5754 MiB
68, 99 %, 5754 MiB
68, 99 %, 5754 MiB
68, 99 %, 5754 MiB
69, 99 %, 5754 MiB
70, 99 %, 5754 MiB
70, 99 %, 5754 MiB
69, 99 %, 5754 MiB
